                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41577,                0.62231,                0.11141,                0.84152,                0.74865,                0.83228,                0.70486,                0.18928,                0.45522,                0.04075,             0.00055484,             0.00055484,             0.00055484
                      2,                0.26477,                0.45676,                0.04196,                0.85237,                0.74563,                0.83738,                 0.7109,                0.18483,                 0.4427,                0.04222,              0.0010555,              0.0010555,              0.0010555
                      3,                0.26667,                0.46261,                0.04257,                0.85385,                0.73982,                0.83653,                0.71545,                0.18253,                0.43817,                0.03966,              0.0015012,              0.0015012,              0.0015012
                      4,                0.27326,                0.46699,                0.04368,                0.84978,                0.75091,                0.84333,                0.71487,                0.18732,                0.44514,                0.04209,              0.0014195,              0.0014195,              0.0014195
                      5,                 0.2703,                0.46499,                0.04263,                 0.8453,                0.74808,                0.83465,                0.70814,                  0.189,                0.44668,                0.04118,              0.0013369,              0.0013369,              0.0013369
                      6,                0.27479,                0.47125,                0.04378,                0.84879,                0.75067,                0.83468,                0.70918,                0.18641,                0.45396,                0.04165,              0.0012544,              0.0012544,              0.0012544
                      7,                0.26447,                 0.4594,                0.04253,                0.85574,                0.74893,                0.84028,                0.71072,                0.18933,                0.45384,                  0.043,              0.0011719,              0.0011719,              0.0011719
                      8,                0.26445,                0.45379,                0.04242,                0.84708,                0.75299,                0.84199,                0.71881,                0.18078,                0.43916,                0.04023,              0.0010894,              0.0010894,              0.0010894
                      9,                0.26174,                0.45324,                0.04155,                0.84235,                0.75519,                0.84115,                0.71834,                0.18206,                0.43629,                0.04161,              0.0010069,              0.0010069,              0.0010069
                     10,                   0.26,                0.45343,                0.04138,                0.84498,                0.75392,                0.84295,                0.72076,                0.18228,                0.43309,                0.04139,             0.00092435,             0.00092435,             0.00092435
                     11,                0.21303,                0.42109,                0.03933,                0.86215,                0.74667,                0.84206,                0.71855,                0.18228,                0.42898,                0.04296,             0.00084184,             0.00084184,             0.00084184
                     12,                0.21117,                 0.4238,                0.03905,                0.86121,                0.74071,                 0.8366,                0.71235,                0.18295,                0.43208,                0.04209,             0.00075932,             0.00075932,             0.00075932
                     13,                0.20737,                0.41515,                0.03774,                0.86291,                0.76247,                0.85348,                0.73667,                0.17342,                0.42124,                0.03738,              0.0006768,              0.0006768,              0.0006768
                     14,                0.20103,                0.40552,                 0.0361,                0.86734,                0.76703,                0.85611,                0.73953,                0.17152,                0.41066,                0.03783,             0.00059429,             0.00059429,             0.00059429
                     15,                0.19915,                0.39921,                0.03527,                0.86182,                0.77196,                0.85887,                0.74138,                 0.1709,                0.41021,                0.03749,             0.00051177,             0.00051177,             0.00051177
                     16,                0.19734,                0.39691,                0.03503,                0.86915,                0.76467,                 0.8555,                0.73893,                0.17221,                0.40834,                0.03862,             0.00042925,             0.00042925,             0.00042925
                     17,                0.19411,                0.38798,                0.03419,                0.86831,                0.76754,                0.85958,                0.74598,                0.16904,                0.40656,                0.03707,             0.00034674,             0.00034674,             0.00034674
                     18,                0.19219,                 0.3852,                 0.0333,                0.86263,                0.77634,                0.86127,                0.74618,                0.16822,                0.40423,                0.03697,             0.00026422,             0.00026422,             0.00026422
                     19,                0.18854,                0.37851,                 0.0327,                0.86661,                0.77219,                0.86096,                0.74936,                0.16616,                0.39802,                0.03626,              0.0001817,              0.0001817,              0.0001817
                     20,                0.18586,                0.37317,                0.03225,                0.86851,                0.77986,                0.86427,                0.75423,                0.16464,                0.39748,                0.03534,             9.9187e-05,             9.9187e-05,             9.9187e-05
